Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,79.7509994506836,80.9199752807617,87.67626953125,98.6120834350586,111.271469116211,104.657890319824,127.603996276855,143.849624633789,132.271286010742,138.822616577148,143.965316772461,164.160110473633,176.930862426758,183.927856445313,174.73063659668,..
Albania,ALB,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,332.332244873047,346.378143310547,360.582000732422,354.873229980469,380.136383056641,452.490325927734,510.922546386719,655.950988769531,645.13427734375,684.265380859375,804.931701660156,829.605651855469,932.823059082031,1022.89001464844,992.569030761719,974.807678222656
American Samoa,ASM,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,3284.2294921875,3277.25073242188,3350.19384765625,3741.40380859375,3974.61474609375,4098.1201171875,3983.9091796875,3966.13012695313,3937.48754882813,4010.31762695313,4414.71142578125,4652.24169921875,4963.498046875,5093.17626953125,4990.35546875,5237.24169921875
Angola,AGO,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,117.858177185059,127.356391906738,156.64697265625,129.017425537109,134.776672363281,168.597549438477,206.017562866211,233.626068115234,167.820114135742,167.915237426758,162.328979492188,190.890869140625,175.377624511719,185.089279174805,183.510406494141,185.854034423828
Antigua and Barbuda,ATG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,785.40576171875,899.373229980469,874.421508789063,897.819458007813,968.537475585938,1082.55017089844,1017.38342285156,891.168884277344,976.295227050781,985.495239257813,1007.7724609375,1057.53356933594,1081.77966308594,1007.50085449219,986.472717285156,1070.76916503906
Arab World,ARB,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,439.333227499961,432.281962023151,445.842050052764,446.255569172209,478.206261950397,515.122259321379,520.072423329216,638.189531139875,598.253916639218,620.402147704476,656.934406910089,740.80201229968,808.484673118314,913.620065125529,1034.25101490016,1008.93576145434
Argentina,ARG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,844.382629394531,864.504333496094,898.362731933594,1051.39343261719,1149.44091796875,1283.34912109375,1358.53247070313,1497.01416015625,1578.81286621094,1648.18774414063,1657.03381347656,1691.37145996094,1640.34033203125,1794.30895996094,1521.07507324219,1916.50415039063
Armenia,ARM,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,229.910263061523,253.51252746582,244.080352783203,279.515228271484,327.973236083984,363.077667236328,481.996704101563,533.821838378906,606.367248535156,658.384643554688,699.266662597656,827.358215332031,857.311767578125,885.608459472656,880.021362304688,1001.06903076172
Aruba,ABW,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,2428.95654296875,2548.60131835938,2745.90087890625,2833.42846679688,3006.95727539063,3177.63427734375,3295.68017578125,3555.70703125,3595.02319335938,3770.48828125,3792.08935546875,4179.10546875,4305.78662109375,4413.67333984375,4634.654296875,4816.15380859375
