Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.035389,-2.197809,-2.296179,-2.070934,-2.221302,-2.410581,-2.690477,-2.712689,-2.579152,-2.50206,-2.418561,-2.519349,-2.411068,-2.571222,-2.671054,-2.800609
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.263366,-1.351042,-1.345281,-1.443609,-1.43289,-1.587331,-1.638287,-1.534796,-1.635723,-1.579179,-1.419888,-1.436761,-1.354784,-1.341994,-1.526352,-1.517361
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.567973,-1.082488,-0.8940507,-1.210829,-1.430343,-1.403352,-1.496089,-1.483899,-1.454683,-1.448488,-1.36014,-1.38493,-1.331396,-1.322968,-1.226363,-1.33461
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-1.804449,-1.430002,-1.505863,-1.637369,-1.667902,-1.688257,-1.621583,-1.674311,-1.532861,-1.540586,-1.193118,-1.193137,-1.118182,-0.9973711,-1.327688,-1.339227
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.670823,-1.553829,-1.697143,-1.658668,-1.863189,-1.829666,-1.86438,-1.847092,-1.845436,-1.896632,-1.643165,-1.597314,-1.445648,-1.50404,-1.49819,-1.569692
Afghanistan,AFG,Voice and Accountability: Estimate,VA.EST,-1.433421,-1.177571,-1.203034,-1.12543,-1.110294,-1.057654,-1.168902,-1.375497,-1.404468,-1.335977,-1.26743,-1.240068,-1.135445,-1.117563,-1.037838,-0.9904761
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.2945781,-0.3088242,-0.4283776,-0.5071405,-0.5083324,-0.203224,-0.0308189,-0.0452486,-0.1914829,-0.2823794,-0.1436316,0.0919298,0.4859862,0.3461291,0.3446447,0.3783687
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.868602,-0.8122751,-0.6991984,-0.7861931,-0.803845,-0.687789,-0.5937066,-0.5384951,-0.5250779,-0.6830084,-0.7265007,-0.6986033,-0.5481988,-0.4790328,-0.405266,-0.4183151
Albania,ALB,Government Effectiveness: Estimate,GE.EST,-0.5333483,-0.5382094,-0.4158677,-0.6594524,-0.5236022,-0.4066241,-0.3567637,-0.2578982,-0.2827555,-0.208207,-0.2677997,-0.3169199,-0.0855579,0.0102911,0.0132704,0.0837741
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,-0.2246936,-0.4475814,-0.1657453,-0.3718735,-0.1017605,0.0606124,0.1475397,0.2382841,0.2294774,0.232936,0.1991688,0.2097187,0.2219903,0.1866678,0.1890221,0.223032
